Name,Roll,Time
user,12,10:59:04
user,12,10:59:04
user,12,10:59:04
user,12,10:59:04
user,12,10:59:04
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:05
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
A,1,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:06
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:07
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
A,1,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
user,12,10:59:08
A,1,10:59:08
user,12,10:59:08
user,12,10:59:08
A,1,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
A,1,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
A,1,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:09
A,1,10:59:09
user,12,10:59:09
user,12,10:59:09
user,12,10:59:10
A,1,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
A,1,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
A,1,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
A,1,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:10
A,1,10:59:10
user,12,10:59:10
user,12,10:59:10
user,12,10:59:11
user,12,10:59:11
A,1,10:59:11
user,12,10:59:11
user,12,10:59:11
A,1,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
user,45,10:59:11
A,1,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
A,1,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
user,12,10:59:11
A,1,10:59:12
user,12,10:59:12
user,12,10:59:12
user,12,10:59:12
A,1,10:59:12
user,12,10:59:12
user,12,10:59:12
user,12,10:59:12
A,1,10:59:12
user,12,10:59:12
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,45,10:59:13
A,1,10:59:13
user,12,10:59:13
user,12,10:59:13
A,1,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
A,1,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
A,1,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:13
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:14
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:15
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:16
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:17
user,12,10:59:18
user,12,10:59:18
user,12,10:59:18
user,12,10:59:18
user,45,10:59:18
user,12,10:59:18
user,12,10:59:18
user,12,10:59:18
user,12,10:59:18
